"Tuesday, Oct 16, 2018",,,,,
Dallas,Houston,8:00 PM,Toyota Center,,Tickets starting at $18.63
Washington,New Orleans,8:00 PM,Smoothie King Center,,Tickets starting at $9.94
Orlando,Portland,10:00 PM,Moda Center,NBAt,Tickets starting at $9.94
Phoenix,L.A. Clippers,10:30 PM,STAPLES Center,,Tickets starting at $12.42
"Thursday, Nov 29, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Golden St.,Toronto,8:00 PM,Scotiabank Arena,TNT,Tickets starting at $136.90
Indiana,L.A. Lakers,10:30 PM,STAPLES Center,,Tickets starting at $79.26
L.A. Clippers,Sacramento,10:30 PM,Golden 1 Center,TNT,Tickets starting at $18.62
"Friday, Nov 30, 2018",,,,,
Away,Home,Time,Venue,NATL TV,Tickets
Washington,Philadelphia,7:00 PM,Wells Fargo Center,,Tickets starting at $29.72
Utah,Charlotte,7:00 PM,Spectrum Center,,Tickets starting at $14.89
Chicago,Detroit,7:00 PM,The Palace of Auburn Hills,,Tickets starting at $18.62
Cleveland,Boston,7:00 PM,TD Garden,,Tickets starting at $68.22
Memphis,Brooklyn,7:30 PM,Barclays Center,,Tickets starting at $13.37
New Orleans,Miami,8:00 PM,AmericanAirlines Arena,,Tickets starting at $23.58
Houston,San Antonio,8:00 PM,AT&T Center,ESPN,Tickets starting at $37.22
Atlanta,Oklahoma City,8:00 PM,Chesapeake Energy Arena,,Tickets starting at $24.82
Orlando,Phoenix,9:00 PM,Talking Stick Resort Arena,,Tickets starting at $11.17
Dallas,L.A. Lakers,10:30 PM,STAPLES Center,,Tickets starting at $100.46
Denver,Portland,10:30 PM,Moda Center,ESPN,Tickets starting at $19.86
